gene_id,class,toxin_family,JLS178,JLS181,JLS187,JLS202,JLS216,JLS223,JLS224,JLS228,JLS242,JLS247,JLS248,JLS249,JLS253,JLS254,JLS255,JLS256,JLS257,JLS260,JLS269,Average,Female_Average,Male_Average
extenderContig342||sp|P62937.2|,Nontoxin,Nontoxin,12.32,490.33,6.73,571.71,31.61,23.69,879.88,513.88,13.86,643.86,17.18,12.79,71.97,10.71,16.99,1440.45,13.41,22.98,377.65,272.2105263,114.255,447.716667
extenderContig35||sp|E2IYB3.1|,Nontoxin,Nontoxin,518.65,317.05,2767.96,70.43,875.52,1572.75,406.47,700.46,2547.23,208.19,438.14,2136.23,233.01,180.26,141.84,15.4,10.9,76.96,745.99,734.9178947,587.94,898.226667
extenderContig353||sp|P22743.1|,Nontoxin,Nontoxin,204.19,1436.66,1465.78,19057.26,286.6,6475.39,855.67,3829.1,768.31,9.91,7.88,98.4,242.08,3252.06,357.05,242.96,561.56,4276.54,953.17,2335.819474,2741.211,1885.38444
extenderContig360||sp|Q56JU9.2|,Nontoxin,Nontoxin,4828.36,6919.12,4597.41,5968.29,6595.43,6849.68,8718.49,6357.34,6618.33,5549.45,6443.49,5471.38,6624.72,11131.54,8226.3,7498.93,4841.73,10233.23,5172.61,6770.833158,6353.157,7234.91778
extenderContig366||sp|A5JST6.1|,Nontoxin,Nontoxin,5935.78,3294.57,6551.24,5636.92,3383.1,4713.19,2004.72,4057.28,2591.06,3307.37,4898.75,3467.6,3531.13,2545.77,4314.39,4090.79,7272.86,2706.03,3553.71,4097.697895,4778.391,3341.37222
extenderContig392||sp|D3TTC2.1|,Nontoxin,Nontoxin,1023.39,600.99,5980.25,855.84,4323.91,615.71,1514.97,317.04,807.76,1180.1,480.25,4868.51,4552.49,695.68,2107.8,8634.38,1621.52,466.84,1594.95,2223.283158,2300.724,2137.23778
extenderContig392||sp|Q98953.1|,Nontoxin,Nontoxin,5122.53,19.19,0.59,6519.8,0,8429.73,5379.06,5.71,0,0,1.16,197.6,1844.45,4269.69,1495.63,2.32,3600.99,5543.75,2.41,2233.400526,2413.131,2033.7
extenderContig410||sp|Q98TF5.1|,Nontoxin,Nontoxin,11100.11,4417.57,12821.92,8514.79,10786.8,7116.47,829.01,5060.02,5724.1,6103.56,4894.01,5885.53,8748.56,2748.03,5438.77,6744.83,9278.83,8801.95,6773.42,6936.225263,8715.916,4958.79111
extenderContig422||sp|Q98TX2.3|,Nontoxin,Nontoxin,3404.84,3098.18,3379.38,3262.13,4581.37,4352.9,6377.6,4621.74,4378.85,4390.92,4267.05,3730.66,4157.46,5281.45,4212.47,4467.24,3049.96,5700.08,3258.19,4209.077368,3927.293,4522.17111
extenderContig430||sp|P61270.3|,Nontoxin,Nontoxin,985.7,698.48,23.23,3458.74,1349.8,630.56,496.84,38.84,161.85,544.95,1197.35,37.58,425.36,215.74,717.28,197.45,2180.65,296.83,500.95,745.1673684,1113.589,335.81
extenderContig431||sp|P63273.2|,Nontoxin,Nontoxin,5390.96,4582.62,6265,6310.6,5745.51,6544.71,3540.53,5357.45,6208.52,5296.94,6855.36,5060.75,7868.88,7311,7678.17,6533.17,5789.94,8446.49,5320.83,6110.917368,6567.174,5603.96556
extenderContig436||sp|Q98953.1|,Nontoxin,Nontoxin,0,0,4110.12,0,6084.06,9380.47,7.61,2296.65,4752.79,8289.2,0,4.45,3151.77,6339.91,0,4186.44,4224.84,9665.3,8214.46,3721.477368,3545.055,3917.50222
extenderContig46||sp|D0VWQ5.1|,Nontoxin,Nontoxin,2876.67,5223,3048.23,3313.64,3180.44,3983.04,3892.45,4331.81,3600.53,4421.56,4447.92,3818.99,3222.63,4234.64,3331.61,4948.72,3458.58,4175.25,3085.54,3820.802632,3414.051,4272.74889
extenderContig463||sp|P41105.2|,Nontoxin,Nontoxin,2124.12,6421.6,2000.2,3080.76,3237.89,6414.42,6856.2,6116.97,5625.91,6201.75,3067.95,5492.89,2909.55,10468.89,4232.61,6942.39,2652.56,3411.9,2985.45,4749.684737,2970.299,6726.78
extenderContig466||sp|P0C0U8.1|,Nontoxin,Nontoxin,0,471.15,343.62,5826.23,233.12,4180.85,113.31,1616.41,0.26,16.09,4.38,55.23,0,2365.99,352.6,207.64,767.13,0,322.5,888.2373684,784.958,1002.99222
extenderContig473||sp|P63220.1|,Nontoxin,Nontoxin,1749.3,1033.52,2686.74,0,1295.45,2307.04,300.13,8.25,599.11,2356.92,1110.65,1410.37,1739.01,841.08,976.05,2,1035.41,3555.28,552.15,1239.918947,1470.004,984.268889
extenderContig519||sp|P47836.2|,Nontoxin,Nontoxin,0.52,0.54,2061.59,3.72,2917.32,1714.24,827.43,1126.83,1059.83,817.06,1097.77,856.6,2043.24,570.88,738.77,1240.55,198.47,1292.1,897.53,1024.473158,1125.103,912.662222
extenderContig525||sp|P47836.2|,Nontoxin,Nontoxin,1.82,2511.8,1546.81,1734.67,1916.11,2940.7,1948.71,6.64,3916.86,1015.55,3348.06,617.01,1222.35,3752.06,1674.19,636.83,3496.8,721.32,679.95,1773.065263,1634.208,1927.35111
extenderContig53||sp|P14115.5|,Nontoxin,Nontoxin,3024.54,4068.53,3578.61,4098.09,4108.97,4741.88,5416.96,4612.4,4731.74,4006.06,4708.76,3675.36,4002.96,6543.77,6235.11,4536.38,3352.3,5154.34,4259.39,4466.113158,4252.307,4703.67556
extenderContig53||sp|Q56JZ1.3|,Nontoxin,Nontoxin,0,1278,706.72,1713.5,1156.26,1410.44,1200.34,579.34,390.95,13.53,1583.58,0.4,0,232.98,1263.49,1243.58,1350.36,446.29,1293.79,834.9236842,951.399,705.506667
extenderContig6||sp|P63220.1|,Nontoxin,Nontoxin,0,11.1,0,0,0,0,15.26,722.69,323.5,0,0,0,0,1191.44,1142.1,3268.75,0,0,1190.75,413.9784211,233.285,614.748889
